ID,Title,Year,Budget,Gross Income
150,Fried Green Tomatoes,1991,11000000,119418501
151,Hangin' with the Homeboys,1991,1900000,532933
152,Harley Davidson and the Marlboro Man,1991,23000000,7434726
153,High Strung,1992,300000,904
154,Highlander II: The Quickening,1991,30000000,15556340
155,Hook,1991,70000000,300854823
156,Hot Shots!,1991,26000000,181096164
157,House Party 2,1991,5000000,19438638
158,Hudson Hawk,1991,65000000,17218080
159,The Indian Runner,1991,7000000,191125
160,JFK,1991,40000000,205405498
161,Jungle Fever,1991,14000000,43882682
162,Kafka,1991,11000000,1059071
163,A Kiss Before Dying,1991,15000000,15429177
164,The Last Boy Scout,1991,29000000,59509925
165,Late for Dinner,1991,14000000,8906823
166,Life Stinks,1991,13000000,4102526
167,Light Sleeper,1992,5000000,1055987
168,Little Man Tate,1991,10000000,25010896
169,Mannequin: On the Move,1991,13000000,3752428
170,The Marrying Man,1991,26000000,12454768
171,A Midnight Clear,1992,5000000,1526697
172,Mobsters,1991,23000000,20246790
173,Mortal Thoughts,1991,8000000,18784957
174,My Girl,1991,17000000,59489799
175,My Own Private Idaho,1991,2500000,6401336
176,Mystery Date,1991,10000000,6166819
177,The Naked Gun 2Â½: The Smell of Fear,1991,23000000,86930411
178,Naked Lunch,1991,16000000,2641357
179,Necessary Roughness,1991,13500000,26255594
180,New Jack City,1991,8000000,47624353
181,Night on Earth,1991,3500000,2023808
182,Nothing But Trouble,1991,40000000,8479793
183,Once Around,1991,16000000,14851083
184,One Good Cop,1991,4000000,11276846
185,Oscar,1991,35000000,23562716
186,Out for Justice,1991,14000000,39673161
187,The Perfect Weapon,1991,10000000,14061361
188,Point Break,1991,24000000,83531958
189,Poison,1991,250000,787280
190,The Prince of Tides,1991,30000000,74787599
191,Problem Child 2,1991,15000000,32704700
192,Prospero's Books,1991,1500000,1750301
193,Pure Luck,1991,17010000,24941969
194,Quigley Down Under,1990,20000000,21413105
195,A Rage in Harlem,1991,8000000,10438504
196,Rambling Rose,1991,7500000,6266621
197,Regarding Henry,1991,25000000,43001500
198,Return to the Blue Lagoon,1991,11000000,2807854
199,Robin Hood: Prince of Thieves,1991,48000000,390493908
200,Rock-A-Doodle,1991,18000000,11657385
201,The Rocketeer,1991,35000000,46704056
202,Run,1991,16000000,4409328
203,Rush,1991,17000000,7241350
204,Scenes from a Mall,1991,3000000,9563393
205,Shakes the Clown,1991,1400000,115103
206,Shattered,1991,22000000,11511031
207,Showdown in Little Tokyo,1991,8000000,2275557
208,The Silence of the Lambs,1991,19000000,272753884
209,Slacker,1990,23000,1228108
210,Sleeping with the Enemy,1991,19000000,174999005
211,Soapdish,1991,25000000,36489888
212,Star Trek VI: The Undiscovered Country,1991,30000000,96888996
213,Stone Cold,1991,17000000,9151887
214,Straight Out of Brooklyn,1991,450000,2712293
215,The Super,1991,22000000,11000863
216,Switch,1991,14000000,15545943
217,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,25000000,78656813
218,Terminator 2: Judgment Day,1991,102000000,520884847
219,Thelma & Louise,1991,16500000,45360915
220,Toy Soldiers,1991,10000000,15073942
221,True Colors,1991,20000000,418807
222,True Identity,1991,15000000,4693236
223,Trust,1990,700000,357400
224,What About Bob?,1991,35000000,63707829
225,White Fang,1991,14000000,34793160
226,1492: Conquest of Paradise,1992,47000000,7191399
227,3 Ninjas,1992,6500000,29000301
228,Aladdin,1992,28000000,504050219
229,AlienÂ³,1992,50000000,159814498
230,American Heart,1992,10000000,384048
231,American Me,1992,16000000,13086430
232,Bad Lieutenant,1992,1000000,2038916
233,Basic Instinct,1992,49000000,352927224
234,Batman Returns,1992,80000000,266903053
235,The Bodyguard,1992,25000000,411006740
236,Boomerang,1992,42000000,131052444
237,Braindead,1992,3000000,242623
238,Dracula,1992,40000000,215862692
239,Buffy the Vampire Slayer,1992,7000000,16624456
