ID,Title,Year,Budget,Gross Income
650,Tall Tale,1995,32000000,11047627
651,Terminal Velocity,1994,50000000,16487349
652,Thumbelina,1994,28000000,11373501
653,Timecop,1994,27000000,101646581
654,True Lies,1994,115000000,378882411
655,Jui kuen II,1994,10000000,11555430
656,Utomlennye solntsem,1994,2800000,2313461
657,Wes Craven's New Nightmare,1994,8000000,19721741
658,Wolf,1994,70000000,131002597
659,Wyatt Earp,1994,63000000,25052000
660,Ace Ventura: When Nature Calls,1995,30000000,212385533
661,The American President,1995,62000000,107879496
662,Antonia,1995,1500000,4249321
663,Apollo 13,1995,52000000,355237933
664,The Thief and the Cobbler,1993,25000000,669276
665,Assassins,1995,50000000,30303072
666,An Awfully Big Adventure,1995,4000000,259724
667,Babe,1995,30000000,254134910
668,The Baby-Sitters Club,1995,6500000,9685976
669,Bad Boys,1995,19000000,141407024
670,Bad Company,1995,15000000,3674841
671,Badkonake sefid,1995,150000,924940
672,Batman Forever,1995,100000000,336567531
673,Before Sunrise,1995,2500000,5986708
674,Beyond Rangoon,1995,23000000,5750110
675,The Big Green,1995,12000000,17736619
676,Billy Madison,1995,10000000,26488734
677,Blue in the Face,1995,2000000,1268636
678,Boys on the Side,1995,21000000,23440188
679,The Brady Bunch Movie,1995,12000000,46576136
680,Braveheart,1995,72000000,213216216
681,The Bridges of Madison County,1995,24000000,182016617
682,The Brothers McMullen,1995,238000,10426506
683,Brothers in Trouble,1995,950000,8000
684,Casino,1995,52000000,116112375
685,Casper,1995,50000000,287928194
686,La cit̩ des enfants perdus,1995,18000000,1781465
687,Clockers,1995,25000000,13071518
688,Clueless,1995,12000000,56631572
689,Congo,1995,50000000,152022101
690,Copycat,1995,20000000,32051917
691,Crimson Tide,1995,53000000,157387195
692,The Crossing Guard,1995,9000000,868979
693,Cutthroat Island,1995,98000000,10017322
694,Dangerous Minds,1995,23000000,179519401
695,Dead Man,1995,9000000,1037847
696,Dead Man Walking,1995,11000000,39363635
697,Dead Presidents,1995,10000000,24147179
698,Desperado,1995,7000000,25405445
699,Devil in a Blue Dress,1995,27000000,16140822
700,Die Hard: With a Vengeance,1995,90000000,366236538
701,Dilwale Dulhania Le Jayenge,1995,40000000,36785
702,Don Juan DeMarco,1994,25000000,68792531
703,Dr. Jekyll and Ms. Hyde,1995,8000000,2763020
704,Dracula: Dead and Loving It,1995,30000000,10772144
705,Fair Game,1995,50000000,11534477
706,Father of the Bride Part II,1995,30000000,76594107
707,First Knight,1995,55000000,127600435
708,Fluke,1995,15000000,3987768
709,Four Rooms,1995,4000000,4257354
710,Friday,1995,3500000,28215918
711,Get Shorty,1995,30250000,115101622
712,GoldenEye,1995,60000000,352194034
713,The Grass Harp,1995,8000000,559771
714,Grumpier Old Men,1995,25000000,71518503
715,Gumby 1,1995,2800000,57100
716,Hackers,1995,20000000,7563728
717,La haine,1995,2590000,280859
718,Halloween: The Curse of Michael Myers,1995,5000000,15116634
719,Heat,1995,60000000,187436818
720,Hideaway,1995,15000000,12201255
721,Home for the Holidays,1995,20000000,17519169
722,Hung fan kui,1995,7500000,32392047
723,How to Make an American Quilt,1995,10000000,41200020
724,The Hunted,1995,25000000,6609661
725,In the Mouth of Madness,1994,8000000,8924549
726,The Incredibly True Adventure of Two Girls in Love,1995,250000,2210408
727,The Indian in the Cupboard,1995,45000000,35656131
728,Jade,1995,50000000,9851610
729,Jefferson in Paris,1995,14000000,2473668
730,Johnny Mnemonic,1995,26000000,19075720
731,Judge Dredd,1995,90000000,113493481
732,Jumanji,1995,65000000,262821940
733,A Kid in King Arthur's Court,1995,15000000,13406717
734,Kids,1995,1500000,7412216
735,Kiss of Death,1995,40000000,14942422
736,K̫kaku Kid̫tai,1995,600000000,515905
737,Leaving Las Vegas,1995,3600000,32029928
738,A Little Princess,1995,17000000,10015449
739,Living in Oblivion,1995,500000,1111790
740,Lord of Illusions,1995,12000000,13294422
741,Losing Isaiah,1995,17000000,7603766
742,Mallrats,1995,6000000,2122561
743,Man with a Plan,1996,100000,33402
744,Mighty Aphrodite,1995,15000000,6468498
745,Mighty Morphin Power Rangers: The Movie,1995,15000000,66433194
746,Money Train,1995,68000000,35431113
747,Mortal Kombat,1995,18000000,122195920
748,Mr. Holland's Opus,1995,23000000,106269971
749,My Family,1995,5500000,11079373
750,The Net,1995,22000000,110627965
751,Never Talk to Strangers,1995,6400000,6858261
752,New Jersey Drive,1995,5000000,3565508
753,Nick of Time,1995,33000000,8175346
754,Nixon,1995,44000000,13681765
755,Nothing to Lose,1995,200000,15843
756,Othello,1995,11000000,2844379
757,Outbreak,1995,50000000,189859560
758,Party Girl,1995,150000,472370
759,The Pebble and the Penguin,1995,28000000,3983912
760,The Perez Family,1995,11000000,2832826
761,Pocahontas,1995,55000000,346079773
762,Powder,1995,9500000,30862156
763,The Prophecy,1995,8000000,16115878
764,The Quick and the Dead,1995,32000000,18636537
765,Restoration,1995,19000000,4005941
766,Richard III,1995,6000000,2748518
767,Rob Roy,1995,28000000,31596911
768,Roommates,1995,22000000,12096881
769,Sabrina,1995,58000000,53672080
770,Safe,1995,1000000,512245
771,The Scarlet Letter,1995,46000000,10382407
772,Screamers,1995,20000000,5711695
773,Se7en,1995,33000000,327311859
774,Search and Destroy,1995,4000000,389503
775,Sense and Sensibility,1995,16000000,134582776
776,Showgirls,1995,45000000,20350754
777,Smoke,1995,7000000,8367636
778,Species,1995,35000000,113374103
779,The Stars Fell on Henrietta,1995,13000000,99318
780,Steal Big Steal Little,1995,35000000,3150170
781,Strange Days,1995,42000000,7959291
782,Sudden Death,1995,35000000,64350171
783,Swimming with Sharks,1994,700000,382928
784,Tales from the Crypt: Demon Knight,1995,13000000,21089146
785,Tales from the Hood,1995,6000000,11837928
786,Tank Girl,1995,25000000,4064495
787,Things to Do in Denver When You're Dead,1995,7000000,529766
788,Three Wishes,1995,10000000,7027517
789,Land and Freedom,1995,2500000,228800
790,To Die For,1995,20000000,21284514
791,Top Dog,1995,6000000,5093707
792,Total Eclipse,1995,8000000,340139
793,Toy Story,1995,30000000,406594102
794,Twelve Monkeys,1995,29000001,168839459
795,Under Siege 2: Dark Territory,1995,60000000,104324083
796,Underground,1995,14000000,171082
797,Underneath,1995,6500000,536023
798,The Usual Suspects,1995,6000000,23341568
799,Vampire in Brooklyn,1995,20000000,19751736
800,Village of the Damned,1995,22000000,9418365
801,Virtuosity,1995,30000000,24047675
802,Waiting to Exhale,1995,16000000,81452156
803,A Walk in the Clouds,1995,20000000,50008143
804,The Walking Dead,1995,15000000,6014341
805,Waterworld,1995,175000000,264218220
806,Welcome to the Dollhouse,1995,800000,4569019
807,While You Were Sleeping,1995,17000000,182057016
808,White Man's Burden,1995,7000000,3734870
809,Wild Bill,1995,30000000,2193982
810,101 Dalmatians,1996,75000000,320689294
811,The Adventures of Pinocchio,1996,25000000,15094530
812,Alaska,1996,23000000,11829959
813,Albino Alligator,1996,6000000,339379
814,The Arrival,1996,25000000,14063331
815,Bad Moon,1996,7000000,1060264
816,Basquiat,1996,3300000,3011195
817,Beavis and Butt-Head Do America,1996,12000000,63118386
818,Before and After,1996,35000000,8797839
819,Big Bully,1996,15000000,2042530
820,Big Night,1996,4100000,12008376
821,Bio-Dome,1996,15000000,13427615
822,The Birdcage,1996,31000000,185260553
823,Blood and Wine,1996,22000000,1094668
824,Bogus,1996,30000000,4357406
825,Bottle Rocket,1996,7000000,560069
826,Bound,1996,4500000,3802260
827,Breathing Room,1996,500000,16299
828,Broken Arrow,1996,50000000,150270147
829,Bulletproof,1996,25000000,22611954
830,The Cable Guy,1996,47000000,102825796
831,Carpool,1996,17000000,3325651
832,Chacun cherche son chat,1996,300000,1474628
833,Chain Reaction,1996,50000000,60209334
834,The Chamber,1996,50000000,22540359
835,Childhood's End,1996,600000,3804
836,Citizen Ruth,1996,3000000,285112
837,City Hall,1996,40000000,20340204
838,Commandments,1997,6000000,548561
839,Courage Under Fire,1996,46000000,100860818
840,The Craft,1996,15000000,24819936
841,Crash,1996,9000000,2664812
842,The Crow: City of Angels,1996,13000000,17917287
843,The Crucible,1996,25000000,7343114
844,Curdled,1996,2300000,49620
845,Daylight,1996,80000000,159212469
846,Dear God,1996,22000000,7138523
847,Dj̦flaeyjan,1996,200000000,5814
848,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,3800000,20949601
849,Down Periscope,1996,31000000,37553752
850,DragonHeart,1996,57000000,115267375
851,Ed,1996,24000000,4422380
852,Eddie,1996,30000000,31387164
853,Emma,1996,6000000,22231658
854,The English Patient,1996,27000000,231976425
855,Eraser,1996,100000000,242295562
856,Escape from L.A.,1996,50000000,25477365
857,Everyone Says I Love You,1996,20000000,9759200
858,Evita,1996,55000000,141047179
859,Executive Decision,1996,55000000,121969216
860,Extreme Measures,1996,38000000,17380126
861,Eye for an Eye,1996,20000000,26877589
862,Faithful,1996,13000000,2104439
863,The Fan,1996,55000000,18626419
864,Fargo,1996,7000000,60611975
865,Feng yue,1996,7000000,1100788
866,The First Wives Club,1996,26000000,181489203
867,Fled,1996,25000000,17193231
868,Flipper,1996,25530000,20080020
869,Flirting with Disaster,1996,7000000,14702438
870,Fly Away Home,1996,22000000,25143818
871,Freeway,1996,3000000,295493
872,The Frighteners,1996,30000000,29359216
873,From Dusk Till Dawn,1996,19000000,25836616
874,The Funeral,1996,12500000,1227324
875,Get on the Bus,1996,2400000,5754249
876,The Ghost and the Darkness,1996,55000000,38619405
877,Ghosts of Mississippi,1996,36000000,13323144
878,Girl 6,1996,12000000,4939939
879,The Glimmer Man,1996,45000000,20351264
880,Grace of My Heart,1996,5000000,660313
881,Gray's Anatomy,1996,350000,29090
882,Hamlet,1996,18000000,4770222
883,Hamsun,1996,40000000,50000
884,Happy Gilmore,1996,12000000,41205099
885,Harriet the Spy,1996,12000000,26570048
886,Heaven's Prisoners,1996,25000000,5009305
887,Hellraiser: Bloodline,1996,4000000,9336886
888,Le huiti̬me jour,1996,25000000,33031984
889,The Hunchback of Notre Dame,1996,100000000,325338851
890,If Lucy Fell,1996,5000000,2420162
891,Independence Day,1996,75000000,817400891
892,The Island of Dr. Moreau,1996,40000000,49627779
893,Jack,1996,45000000,58620973
894,James and the Giant Peach,1996,38000000,28946127
895,Jerry Maguire,1996,50000000,273552592
896,Jingle All the Way,1996,60000000,129832389
897,Joe's Apartment,1996,13000000,4619014
898,Jude,1996,7000000,409144
899,The Juror,1996,44000000,22754725
900,Kama Sutra: A Tale of Love,1996,3000000,4109095
901,Kansas City,1996,19000000,1356828
902,Kazaam,1996,20000000,18937262
903,Kingpin,1996,27000000,25023434
904,Larger Than Life,1996,30000000,8315693
905,Last Man Standing,1996,67000000,47267001
906,Lawnmower Man 2: Beyond Cyberspace,1996,15000000,2409225
907,Lilies - Les feluettes,1996,2200000,301548
908,Lone Star,1996,5000000,12408986
909,The Long Kiss Goodnight,1996,65000000,89456761
910,Lost Highway,1997,15000000,3703548
911,Love Serenade,1996,3800000,604523
912,Love and Other Catastrophes,1996,250000,294212
913,Mad Dog Time,1996,8000000,107874
914,Manny & Lo,1996,500000,502313
915,Mars Attacks!,1996,70000000,101371017
916,Marvin's Room,1996,23000000,12803305
917,Mary Reilly,1996,47000000,12379402
918,Matilda,1996,36000000,33459416
919,Maximum Risk,1996,25000000,14502483
920,Mercy,1995,52000,2967
921,Michael Collins,1996,25000000,11135803
922,Shekvarebuli kulinaris ataserti retsepti,1996,17000000,686704
923,The Mirror Has Two Faces,1996,42000000,41083864
924,Mission: Impossible,1996,80000000,457731166
925,Mother Night,1996,6000000,403701
926,Mrs. Winterbourne,1996,25000000,10082005
927,Mulholland Falls,1996,29000000,11526099
928,Multiplicity,1996,45000000,21075014
929,My Fellow Americans,1996,21500000,22313201
930,The Nutty Professor,1996,54000000,273961019
931,Original Gangstas,1996,4800000,3718087
932,The Pallbearer,1996,8000000,5656388
933,The People vs. Larry Flynt,1996,36000000,20300385
934,The Phantom,1996,45000000,17323326
935,Phenomenon,1996,32000000,152036382
936,The Preacher's Wife,1996,40000000,48102795
937,Primal Fear,1996,30000000,102616183
938,Pusher,1996,6000000,1605
939,The Quest,1996,30000000,57400547
940,Ransom,1996,80000000,309492681
941,Reggie's Prayer,1996,2600000,52665
942,Ridicule,1996,50000000,1979768
943,The Rock,1996,75000000,335062621
944,Romeo + Juliet,1996,14500000,151841661
945,Schizopolis,1996,250000,10580
946,Scream,1996,14000000,173046663
947,The Secret Agent,1996,7000000,106606
948,Secrets & Lies,1996,4500000,13417292
949,Set It Off,1996,9000000,41590886
950,Sgt. Bilko,1996,39000000,37956793
951,She's the One,1996,3500000,9538948
952,Shine,1996,5500000,35994719
953,Sleepers,1996,44000000,165615285
954,Sling Blade,1996,1000000,24444121
955,Solo,1996,19000000,5107669
956,Space Jam,1996,80000000,230418342
957,The Spitfire Grill,1996,6000000,12658486
958,Spy Hard,1996,18000000,26960191
959,Star Trek: First Contact,1996,45000000,146027888
960,Stealing Beauty,1996,10000000,4762310
961,Striptease,1996,40000000,113309743
962,The Stupids,1996,25000000,2491989
963,Surviving Picasso,1996,16000000,2021348
964,Swingers,1996,200000,4555020
965,Bordello of Blood,1996,13000000,5781045
966,Tesis,1996,721214,14227
967,That Thing You Do!,1996,26000000,34585416
968,A Thin Line Between Love and Hate,1996,8000000,35599803
969,Thinner,1996,8500000,15315484
970,A Time to Kill,1996,40000000,152266007
971,Tin Cup,1996,45000000,53854588
972,Trainspotting,1996,3500000,16593356
973,Trees Lounge,1996,1300000,749741
974,The Trigger Effect,1996,8000000,3622979
975,Twelfth Night or What You Will,1996,5000000,588621
976,Twister,1996,92000000,494471524
977,Two Much,1995,24000000,1141556
978,Un air de famille,1996,3800000,92806
979,Unforgettable,1996,18000000,2821671
980,Up Close & Personal,1996,60000000,100688705
981,A Very Brady Sequel,1996,12000000,21440752
982,Waiting for Guffman,1996,4000000,2923982
983,Walking and Talking,1996,1000000,1287480
984,White Squall,1996,38000000,10292300
985,The Whole Wide World,1996,1300000,375757
986,Dead Man on Campus,1998,14000000,15064946
987,'Til There Was You,1997,1000000,3525125
988,One Eight Seven,1997,20000000,5727130
989,8 Heads in a Duffel Bag,1997,3000000,3602884
990,Absolute Power,1997,50000000,50068310
991,Affliction,1997,6000000,6330054
992,Air Bud,1997,3000000,23144499
993,Air Force One,1997,85000000,315156409
994,An Alan Smithee Film: Burn Hollywood Burn,1997,10000000,59921
995,Alien Resurrection,1997,75000000,161376068
996,An American Werewolf in Paris,1997,25000000,26570463
997,Amistad,1997,36000000,44229441
998,Anaconda,1997,45000000,136885767
999,Anastasia,1997,50000000,139804348
1000,Anna Karenina,1997,35000000,858553
1001,The Apostle,1997,5000000,19868354
1002,Apt Pupil,1998,14000000,8863193
1003,Austin Powers: International Man of Mystery,1997,16500000,67683989
1004,The Avengers,1998,60000000,23384939
1005,Baby Geniuses,1999,12000000,36450736
1006,Batman & Robin,1997,125000000,238235915
1007,Bean,1997,18000000,251212670
1008,The Beautician and the Beast,1997,16000000,11486880
1009,Beverly Hills Ninja,1997,18000000,31480418
1010,The Big Lebowski,1998,15000000,46735469
1011,Six-String Samurai,1998,2000000,146125
1012,Hush,1998,21000000,13583690
1013,Blues Brothers 2000,1998,28000000,14051384
1014,Boogie Nights,1997,15000000,43101594
1015,The Borrowers,1997,29000000,22619589
1016,Les Boys,1997,3300000,4602341
1017,Breakdown,1997,36000000,50159144
1018,Buddy,1997,25000000,10113400
1019,Buffalo '66,1998,1500000,2375097
1020,Bulworth,1998,30000000,29202884
1021,La vita ̬ bella,1997,20000000,230098753
1022,Cats Don't Dance,1997,32000000,3566637
1023,Chasing Amy,1997,250000,12021272
1024,Chun gwong cha sit,1997,4200000,320319
1025,Bacheha-Ye aseman,1997,180000,933933
1026,City of Industry,1997,8000000,1568258
1027,Clay Pigeons,1998,8000000,1794086
1028,Con Air,1997,75000000,224012234
1029,Conspiracy Theory,1997,75000000,136982834
1030,Contact,1997,90000000,171120329
1031,Cop Land,1997,15000000,44862187
1032,Dangerous Beauty,1998,8000000,4553271
1033,Critical Care,1997,12000000,221193
1034,Dante's Peak,1997,116000000,178127760
1035,Dark City,1998,27000000,27200316
1036,Deconstructing Harry,1997,20000000,10686841
1037,Deep Rising,1998,45000000,11203026
1038,Desperate Measures,1998,50000000,13806137
1039,The Devil's Advocate,1997,57000000,152944660
1040,The Devil's Own,1997,90000000,140807547
1041,Doctor Dolittle,1998,71500000,294456605
1042,Donnie Brasco,1997,35000000,124909762
1043,Double Team,1997,30000000,11438337
1044,Dream with the Fishes,1997,1000000,543708
1045,Le d̨ner de cons,1998,82000000,4071548
1046,The Edge,1997,30000000,43312294
1047,Almost Heroes,1998,30000000,6136856
1048,The End of Violence,1997,5000000,386673
1049,Onegin,1999,14000000,206128
1050,Eve's Bayou,1997,6000000,14842388
1051,Event Horizon,1997,60000000,26673242
1052,Excess Baggage,1997,20000000,14515490
1053,Face/Off,1997,80000000,245676146
1054,Fall,1997,1000000,51266
1055,Fathers' Day,1997,85000000,28598376
1056,Fierce Creatures,1997,25000000,9381260
1057,The Fifth Element,1997,93000000,264029966
1058,Fire Down Below,1997,60000000,16228448
1059,Flubber,1997,80000000,177977226
1060,Follow Me Home,1996,220000,52155
1061,Fools Rush In,1997,20000000,29481428
1062,For Richer or Poorer,1997,35000000,32748995
1063,The Full Monty,1997,3500000,257938649
1064,G.I. Jane,1997,50000000,48169156
1065,The Game,1997,50000000,109423648
1066,Gattaca,1997,36000000,12532777
1067,George of the Jungle,1997,55000000,174463257
1068,The Gingerbread Man,1998,25000000,1677131
1069,Switchback,1997,37000000,6492660
1070,Gone Fishin',1997,53000000,19745922
1071,Good Burger,1997,9000000,23712993
1072,Good Will Hunting,1997,10000000,225933435
1073,Goodbye America,1997,75000000,4635
1074,Goodbye Lover,1998,20000000,1940299
1075,Great Expectations,1998,25000000,55494066
1076,Grosse Pointe Blank,1997,15000000,28084357
1077,Gummo,1997,1300000,116799
1078,Sydney,1996,3000000,222559
1079,Hercules,1997,85000000,252712101
1080,Home Alone 3,1997,32000000,79082515
1081,Home Fries,1998,35000000,10493366
1082,Hoodlum,1997,30000000,23499102
1083,Hope Floats,1998,30000000,81471882
1084,The Horse Whisperer,1998,60000000,186883563
1085,The House of Yes,1997,1500000,626057
1086,Hurlyburly,1998,15000000,1808004
1087,Hurricane,1997,500000,375634
1088,I Know What You Did Last Summer,1997,17000000,125586134
1089,I Married a Strange Person!,1997,250000,206272
1090,The Ice Storm,1997,18000000,8038061
1091,In & Out,1997,35000000,63856929
1092,In the Company of Men,1997,25000,2804473
1093,The Jackal,1997,60000000,159330280
1094,Jackie Brown,1997,12000000,39673162
1095,Jungle 2 Jungle,1997,32000000,59927618
1096,Karakter,1997,4500000,623983
1097,Kicked in the Head,1997,4000000,21361
1098,"Kiss Me, Guido",1997,740000,1918497
1099,Kiss or Kill,1997,2000000,801728
1100,Kiss the Girls,1997,27000000,60527873
1101,Knockin' on Heaven's Door,1997,4300000,5710
1102,Kull the Conqueror,1997,20000000,6112613
1103,Kundun,1997,28000000,5684789
1104,L.A. Confidential,1997,35000000,126216940
1105,The Last Time I Committed Suicide,1997,4000000,46362
1106,Lawn Dogs,1997,8000000,106404
1107,Leave It to Beaver,1997,15000000,10925060
1108,Your Friends & Neighbors,1998,5000000,4714658
1109,Liar Liar,1997,45000000,302710615
1110,A Life Less Ordinary,1997,12000000,4366722
1111,Lolita,1997,62000000,1071255
1112,No Looking Back,1998,5000000,222099
1113,The Lost World: Jurassic Park,1997,73000000,618638999
1114,Love Jones,1997,10000000,12782749
1115,Mad City,1997,50000000,10541523
1116,Twilight,1998,37000000,15055091
1117,McHale's Navy,1997,31190000,4529843
1118,Meet Joe Black,1998,90000000,142940100
1119,Men in Black,1997,90000000,589390539
1120,Men with Guns,1997,2500000,910773
1121,Metro,1997,55000000,32000301
1122,Midnight in the Garden of Good and Evil,1997,35000000,25105255
1123,Mimic,1997,30000000,25480490
1124,Money Talks,1997,25000000,48407611
1125,Mortal Kombat: Annihilation,1997,30000000,51376861
1126,Most Wanted,1997,25000000,11838218
1127,Mousehunt,1997,38000000,122417389
1128,Mr. Magoo,1997,30000000,21437192
1129,Murder at 1600,1997,40000000,25804707
1130,My Best Friend's Wedding,1997,38000000,299288605
1131,The Myth of Fingerprints,1997,2000000,523025
1132,Next Stop Wonderland,1998,1000000,3395581
1133,The Night Flier,1997,1000000,125397
1134,Nil by Mouth,1997,9000000,266130
1135,Snitch,1998,11000000,333760
1136,Nothing to Lose,1997,25000000,44480039
1137,As Good as It Gets,1997,50000000,314178011
1138,One Night Stand,1997,24000000,2642983
1139,Oscar and Lucinda,1997,16000000,1897404
1140,Out to Sea,1997,33000000,30716901
1141,Paradise Road,1997,16000000,2007100
1142,The Peacemaker,1997,50000000,110463140
1143,The Pest,1997,17000000,3600616
1144,Picture Perfect,1997,10000000,44332015
1145,Pippi Longstocking,1997,80000000,505335
1146,The Players Club,1998,4500000,23261485
1147,Playing God,1997,12000000,4166918
1148,The Postman,1997,80000000,17626234
1149,Without Limits,1998,25000000,777423
1150,Prefontaine,1997,8000000,589304
1151,Primary Colors,1998,65000000,52090187
1152,Private Parts,1997,28000000,41230799
1153,The Rainmaker,1997,40000000,45916769
1154,Red Corner,1997,48000000,22459274
1155,The Relic,1997,40000000,33956608
1156,The Replacement Killers,1998,30000000,19204929
1157,Rien ne va plus,1997,60000000,250899
1158,Rosewood,1997,25000000,13130349
1159,The Saint,1997,68000000,118063304
1160,Savior,1998,10000000,14328
1161,Scream 2,1997,24000000,172363301
1162,Selena,1997,20000000,35281794
1163,Seven Years in Tibet,1997,70000000,131457682
1164,Shadow Conspiracy,1997,45000000,2312463
1165,She's So Lovely,1997,18000000,7281450
1166,Shooting Fish,1997,3000000,375261
1167,Sibirskiy tsiryulnik,1998,35000000,2634218
1168,A Simple Wish,1997,28000000,8345056
1169,The Sixth Man,1997,11000000,14772788
1170,Sliding Doors,1998,6000000,11841544
1171,A Smile Like Yours,1997,18000000,3330352
1172,Smilla's Sense of Snow,1997,35000000,2372903
1173,Soldier,1998,60000000,14594226
1174,Soul Food,1997,7500000,43700855
1175,The Spanish Prisoner,1997,10000000,9593903
1176,Spawn,1997,40000000,87840042
1177,Speed 2: Cruise Control,1997,160000000,164508066
1178,Sphere,1998,80000000,37020277
1179,Spice World,1997,25000000,29342592
1180,Three Kings,1999,75000000,107752036
1181,Starship Troopers,1997,105000000,121214377
1182,Steel,1997,16000000,1710972
1183,Suicide Kings,1997,5000000,1740156
1184,The Sweet Hereafter,1997,5000000,3263585
1185,Tango,1998,700000000,1897948
1186,Telling Lies in America,1997,4000000,318809
1187,That Old Feeling,1997,35000000,16574176
1188,Smoke Signals,1998,2000000,6745362
1189,A Thousand Acres,1997,28000000,7936780
1190,A Simple Plan,1998,30000000,16316273
1191,Titanic,1997,200000000,2187463944
1192,Tomorrow Never Dies,1997,110000000,333011068
1193,Toy Story 2,1999,90000000,508793269
1194,Trojan War,1997,15000000,309
1195,The Truman Show,1998,60000000,264118201
1196,Turbo: A Power Rangers Movie,1997,8000000,9615840
1197,Turbulence,1997,55000000,11538235
1198,Twin Town,1997,3300000,127923
1199,U Turn,1997,19000000,6682098
1200,Ulee's Gold,1997,2700000,9161691
1201,Vegas Vacation,1997,25000000,36400360
1202,Virus,1999,75000000,30657854
1203,Volcano,1997,90000000,122823468
1204,Star Kid,1997,12000000,7029025
1205,Warriors of Virtue,1997,35000000,6537036
1206,The Man Who Knew Too Little,1997,20000000,13717039
1207,The Waterboy,1998,23000000,185991646
1208,Welcome to Sarajevo,1997,9000000,334319
1209,Wide Awake,1998,6000000,282175
1210,Wilde,1997,10000000,2158775
1211,Wishmaster,1997,5000000,15738769
1212,Woo,1998,13000000,8165984
1213,Celebrity,1998,12000000,5078660
1214,54,1998,13000000,16757163
1215,All the Little Animals,1998,3500000,26558
1216,American History X,1998,20000000,23875127
1217,Antz,1998,105000000,171757863
1218,Armageddon,1998,140000000,553709788
1219,Babe: Pig in the City,1998,90000000,69131860
1220,The Bachelor,1999,51000000,36911617
1221,Barney's Great Adventure,1998,15000000,12218638
1222,Being John Malkovich,1999,13000000,23106667
1223,Beloved,1998,80000000,22852487
1224,Beowulf,1999,3500000,102744
1225,The Big Hit,1998,13000000,27007143
1226,Black Dog,1998,30000000,12951088
1227,Blade,1998,45000000,131183530
1228,A Walk on the Moon,1999,14000000,4750660
1229,The Mummy,1999,80000000,415933406
1230,Breakfast of Champions,1999,12000000,178278
1231,Brokedown Palace,1999,25000000,10115013
1232,A Bug's Life,1998,120000000,363258859
1233,EverAfter,1998,26000000,98005666
1234,City of Angels,1998,55000000,198685114
1235,A Civil Action,1998,75000000,56709981
1236,Meet the Deedles,1998,24000000,4356216
1237,The Deep End of the Ocean,1999,38000000,28121100
1238,Deep Impact,1998,75000000,349464664
1239,Dirty Work,1998,13000000,10023282
1240,Dogma,1999,10000000,31429330
1241,The 13th Warrior,1999,160000000,61698899
1242,Enemy of the State,1998,90000000,250849789
1243,Eye of the Beholder,1999,35000000,17589705
1244,Eyes Wide Shut,1999,65000000,162091208
1245,Fear and Loathing in Las Vegas,1998,18500000,10680275
1246,Firestorm,1998,19000000,8165212
1247,Gloria,1999,30000000,4197729
1248,Gods and Monsters,1998,10000000,6451628
1249,Godzilla,1998,130000000,379014294
1250,Stepmom,1998,50000000,159710793
1251,The Green Mile,1999,60000000,286801374
1252,Half Baked,1998,8000000,17460020
1253,Halloween H20: 20 Years Later,1998,17000000,55041738
1254,Hard Rain,1998,70000000,19870567
1255,Holy Man,1998,60000000,12069719
1256,How Stella Got Her Groove Back,1998,20000000,39278722
1257,In Dreams,1999,30000000,12017369
1258,Jakob the Liar,1999,45000000,4956401
1259,Living Out Loud,1998,20000000,15610299
1260,Knock Off,1998,35000000,10319915
1261,The Last Days of Disco,1998,8000000,3020601
1262,La leggenda del pianista sull'oceano,1998,9000000,167435
1263,"Lock, Stock and Two Smoking Barrels",1998,960000,3753929
1264,Lost in Space,1998,80000000,136159423
1265,Jane Austen's Mafia!,1998,10000000,19889299
1266,Major League: Back to the Minors,1998,18000000,3572443
1267,The Man in the Iron Mask,1998,35000000,182968902
1268,The Mask of Zorro,1998,95000000,250288523
1269,Mercury Rising,1998,60000000,93107289
1270,Mighty Joe Young,1998,90000000,50632037
1271,The Mod Squad,1999,50000000,13263993
1272,Mulan,1998,90000000,304320254
1273,My Favorite Martian,1999,65000000,36850101
1274,The Negotiator,1998,50000000,44547681
1275,The Newton Boys,1998,27000000,10452012
1276,A Night at the Roxbury,1998,17000000,30331165
1277,The Object of My Affection,1998,15000000,46905889
1278,One Man's Hero,1999,11350000,240067
1279,One True Thing,1998,30000000,26616840
1280,The Opposite of Sex,1997,5000000,5881367
1281,Out of Sight,1998,48000000,77745568
1282,Payback,1999,90000000,161626121
1283,A Perfect Murder,1998,60000000,128038368
1284,Pleasantville,1998,60000000,49805462
1285,Practical Magic,1998,75000000,46732881
1286,The Prince of Egypt,1998,70000000,218613188
1287,Pushing Tin,1999,33000000,8408835
1288,Quest for Camelot,1998,40000000,22510798
1289,Le violon rouge,1998,18000000,10019109
1290,Rush Hour,1998,33000000,244721064
1291,Safe Men,1998,1000000,45724
1292,Saving Private Ryan,1998,70000000,482349603
1293,Senseless,1998,15000000,12874899
1294,Six Days Seven Nights,1998,70000000,164839294
1295,Slums of Beverly Hills,1998,5000000,5502773
1296,Snake Eyes,1998,73000000,103891409
1297,Snow Falling on Cedars,1999,35000000,23049593
1298,Lost & Found,1999,30000000,6552255
1299,Star Trek: Insurrection,1998,58000000,112587658
1300,Tarzan,1999,130000000,448191819
1301,Tarzan and the Lost City,1998,20000000,2172941
