title,gross_income,budget,year
Random Hearts,74608570.0,64000000,1999
Boys Don't Cry,11540607.0,2000000,1999
The Limey,3193102.0,10000000,1999
Total Recall,261317921.0,65000000,1990
Hard Eight,222559.0,3000000,1996
Home Alone 2: Lost in New York,358991681.0,18000000,1992
Naturally Native,10508.0,700000,1999
Fight Club,100853753.0,63000000,1999
The Story of Us,58900031.0,50000000,1999
The Best Man,34573780.0,9000000,1999
RoboCop 2,45681173.0,35000000,1990
House on Haunted Hill,40846082.0,19000000,1999
Music of the Heart,14859394.0,27000000,1999
Being John Malkovich,22863596.0,13000000,1999
Dreaming of Joseph Lees,7.0,2000000,1999
Princess Mononoke,159375308.0,26500000,1997
The Bachelor,36911617.0,51000000,1999
The Bone Collector,151493655.0,73000000,1999
The Insider,60289912.0,90000000,1999
Falling Down,40903593.0,25000000,1993
Anywhere But Here,18653615.0,23000000,1999
Dogma,30652890.0,10000000,1999
The Messenger: The Story of Joan of Arc,66976317.0,60000000,1999
PokÃ©mon: The First Movie: Mewtwo Strikes Back,163644662.0,30000000,1998
Sleepy Hollow,206071502.0,100000000,1999
The World Is Not Enough,361832400.0,135000000,1999
All About My Mother,67872296.0,8272296,1999
Stanley & Iris,5820015.0,23000000,1990
Backdraft,152368585.0,75000000,1991
The Fisher King,41895491.0,24000000,1991
End of Days,211989043.0,100000000,1999
Toy Story 2,497366869.0,90000000,1999
Ride with the Devil,635096.0,38000000,1999
Tumbleweeds,1281176.0,312000,1999
The End of the Affair,10827816.0,23000000,1999
The Bonfire of the Vanities,15691192.0,47000000,1990
The Two Jakes,10000000.0,19000000,1990
Deuce Bigalow: Male Gigolo,65535067.0,17000000,1999
The Green Mile,284600000.0,60000000,1999
The Cider House Rules,88545092.0,24000000,1999
Bicentennial Man,93700000.0,100000000,1999
Stuart Little,300135367.0,133000000,1999
Fantasia 2000,90874570.0,80000000,1999
Magnolia,48451803.0,37000000,1999
Onegin,206128.0,14000000,1999
Simpatico,929606.0,10000000,1999
Any Given Sunday,100230832.0,55000000,1999
Man on the Moon,47434430.0,82000000,1999
Galaxy Quest,90683916.0,45000000,1999
The Talented Mr. Ripley,128798265.0,40000000,1999
The Hurricane,73956241.0,50000000,1999
Play It to the Bone,8434146.0,24000000,1999
The Terrorist,140021.0,24554,1998
Batman: Mask of the Phantasm,5617391.0,6000000,1993
Poison,609524.0,250000,1991
Malcolm X,48169908.0,34000000,1992
Sister Act,231605150.0,31000000,1992
Sister Act 2: Back in the Habit,57319029.0,38000000,1993
The Hand that Rocks the Cradle,88036683.0,11700000,1992
Alive,36733909.0,32000000,1993
Scent of a Woman,134095253.0,31000000,1992
Wayne's World,121697323.0,20000000,1992
A League of Their Own,107458785.0,40000000,1992
Patriot Games,178051587.0,45000000,1992
The Bodyguard,411006740.0,25000000,1992
Death Becomes Her,149022650.0,55000000,1992
Far and Away,137783840.0,60000000,1992
Twin Peaks: Fire Walk with Me,4160851.0,10000000,1992
Buffy the Vampire Slayer,16624456.0,7000000,1992
El Mariachi,2040920.0,220000,1992
Bad Lieutenant,2019469.0,1000000,1992
Single White Female,48017402.0,16000000,1992
The Boondock Saints,30471.0,6000000,1999
Beyond the Mat,500000.0,2053648,1999
The Ninth Gate,58401898.0,38000000,1999
JFK,205405498.0,40000000,1991
Thelma & Louise,45361000.0,16000000,1991
Mo' Better Blues,16153593.0,10000000,1990
Jungle Fever,32482682.0,14000000,1991
Death Wish 5: The Face of Death,1702394.0,5000000,1994
Cool as Ice,1193062.0,6000000,1991
Teenage Mutant Ninja Turtles,202000000.0,13500000,1990
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78000000.0,25000000,1991
Teenage Mutant Ninja Turtles III,42000000.0,21000000,1993
Jacob's Ladder,25965144.0,25000000,1990
Hook,300854823.0,70000000,1991
Misery,61276872.0,20000000,1990
Mr. Saturday Night,13300000.0,43000000,1992
Black and White,5241315.0,10000000,1999
The Prince of Tides,74787599.0,30000000,1991
East Is East,28200000.0,3800000,1999
The Virgin Suicides,10409377.0,6000000,1999
Jennifer Eight,11390479.0,20000000,1992
The Idiots,7235.0,2500000,1998
Carnosaur,1753979.0,1000000,1993
Human Traffic,4000000.0,600000,1999
The Myth Of Fingerprints,458815.0,2000000,1997
Stay Tuned,10736401.0,25000000,1992
Flatliners,61489265.0,26000000,1990
Predator 2,57120318.0,35000000,1990
Butterfly,6000000.0,3000000,1999
House Party,26386000.0,2500000,1990
But I'm a Cheerleader,2600000.0,1200000,1999
PokÃ©mon: The Movie 2000,133949270.0,30000000,1999
What About Bob?,63710000.0,35000000,1991
The Crush,13609396.0,6000000,1993
Silent Fall,3180674.0,30000000,1994
Godzilla 2000,10037390.0,1000000,1999
The Naked Gun 2Â½: The Smell of Fear,86930411.0,23000000,1991
Hellraiser III: Hell on Earth,12534961.0,5000000,1992
Don't Tell Mom the Babysitter's Dead,25196249.0,10000000,1991
Death Warrant,16853487.0,4000000,1990
Double Impact,30102717.0,15000000,1991
Harley Davidson and the Marlboro Man,7434726.0,23000000,1991
Mermaids,35419397.0,31000000,1990
A Home of Our Own,1703282.0,12000000,1993
For the Boys,23202444.0,40000000,1991
Postcards from the Edge,39071603.0,22000000,1990
City Slickers,179033791.0,27000000,1991
Point Break,83531958.0,24000000,1991
Unlawful Entry,57138719.0,23000000,1992
Shadows and Fog,2735731.0,14000000,1991
Cure,99000.0,20000,1997
Silent Trigger,76382.0,15000000,1996
Another 48 Hrs.,153518974.0,38000000,1990
Dragon: The Bruce Lee Story,63513743.0,14000000,1993
Baby's Day Out,16671505.0,50000000,1994
The Good Son,44456478.0,17000000,1993
Intersection,21355893.0,45000000,1994
A Troll in Central Park,71368.0,23000000,1994
Delirious,5546827.0,18000000,1991
Rambling Rose,6266621.0,7500000,1991
White Fang,34793160.0,14000000,1991
Rapid Fire,14356479.0,10000000,1992
Hot Shots!,181096164.0,26000000,1991
Camilla,250993.0,8500000,1994
Captain Ron,22518097.0,24000000,1992
Spaced Invaders,15369573.0,3000000,1990
Claire of the Moon,799674.0,130000,1992
Jason Goes to Hell: The Final Friday,15938065.0,3000000,1993
Return to the Blue Lagoon,2807854.0,11000000,1991
Body of Evidence,13273595.0,30000000,1993
Running Time,1596.0,130000,1997
Dennis the Menace,117270765.0,35000000,1993
Ringu,8690429.0,1200000,1998
Ringu 2,18686644.0,6000000,1999
Wind,5519569.0,29000000,1992
The Marrying Man,12454768.0,26000000,1991
Scenes from a Mall,9563393.0,3000000,1991
Oscar,23562716.0,35000000,1991
Barton Fink,6153939.0,9000000,1991
Shattered,11511031.0,22000000,1991
"Bodies, Rest & Motion",764083.0,2500000,1993
Loose Cannons,5585154.0,1500000,1990
Man's Best Friend,12974636.0,6000000,1993
Showdown in Little Tokyo,2275557.0,8000000,1991
Tremors,48572000.0,11000000,1990
Memoirs of an Invisible Man,14358033.0,40000000,1992
Beethoven's 2nd,118243066.0,15000000,1993
Boyz n the Hood,57504069.0,6500000,1991
Bugsy,49114016.0,30000000,1991
Consenting Adults,21591728.0,18000000,1992
Sleeping with the Enemy,174999005.0,19000000,1991
PCU,4350774.0,9000000,1994
The Rookie,21633874.0,10000000,1990
A Rage in Harlem,10400000.0,8000000,1991
The Gun in Betty Lou's Handbag,3721911.0,13000000,1992
Article 99,6375979.0,18000000,1992
There Goes My Baby,123509.0,10500000,1994
Mobsters,20246790.0,23000000,1991
Darkman,48878502.0,16000000,1990
New Jack City,47624253.0,8500000,1991
Highlander II: The Quickening,15556340.0,30000000,1991
Hudson Hawk,17218080.0,65000000,1991
Kindergarten Cop,201957688.0,15000000,1990
The Last Boy Scout,59509925.0,29000000,1991
Mr. Destiny,15379253.0,20000000,1990
Passenger 57,44065653.0,15000000,1992
Presumed Innocent,221303188.0,22000000,1990
Pure Luck,24941969.0,17010000,1991
The Wedding Banquet,6933459.0,1000000,1993
Radio Flyer,4651977.0,35000000,1992
Wild at Heart,14560247.0,9500000,1990
Leprechaun,8556940.0,900000,1993
Run,4409328.0,16000000,1991
"Car 54, Where Are You?",1238080.0,10700000,1994
Only the Strong,3283371.0,6000000,1993
The Adventures of Ford Fairlane,20423389.0,49000000,1990
Cool World,14110589.0,30000000,1992
Money for Nothing,1044824.0,11000000,1993
Clifford,7411659.0,19000000,1994
Raising Cain,37170057.0,12000000,1992
Noises Off...,2280148.0,12000000,1992
On Deadly Ground,49000000.0,50000000,1994
Forever Fever,570000.0,1070000,1998
The Indian Runner,191125.0,7000000,1991
Nightbreed,8862354.0,11000000,1990
Space Truckers,1614266.0,25000000,1996
Paradise,18634643.0,34000000,1991
At Play in the Fields of the Lord,1345903.0,36000000,1991
Night of the Living Dead,5835247.0,4200000,1990
City of Joy,14683921.0,27000000,1992
The Doctor,38120905.0,12000000,1991
Meet the Applegates,485772.0,5000000,1991
Rapa Nui,305070.0,20000000,1994
Juice,20146880.0,5000000,1992
Search and Destroy,389503.0,4000000,1995
The Super,11000863.0,22000000,1991
1492: Conquest of Paradise,7191399.0,47000000,1992
Fire in the Sky,19724334.0,19885552,1993
Cry-Baby,8266343.0,11000000,1990
Frankenhooker,205068.0,2500000,1990
Hard to Kill,47410000.0,10000000,1990
Havana,9243140.0,40000000,1990
Lionheart,24078196.0,6000000,1990
Closet Land,259012.0,4000000,1991
Dutch,4603929.0,17000000,1991
Mannequin Two: On the Move,3752426.0,13000000,1991
Out for Justice,39673161.0,14000000,1991
Diggstown,4836637.0,17000000,1992
Fortress,6739141.0,8000000,1992
Josh and S.A.M.,1528163.0,18000000,1993
Philadelphia Experiment II,2970.0,5000000,1993
Beowulf,1531251.0,20000000,1999
A Place Called Chiapas,229000.0,891000,1998
Dil Se..,13000000.0,5200000,1998
Kuch Kuch Hota Hai,15306000.0,1530000,1998
Beastmaster 2: Through the Portal of Time,869325.0,6000000,1991
The Chase,8009329.0,26000000,1994
Double Dragon,2341309.0,3500000,1994
Bopha!,212483.0,12000000,1993
Once Upon a Forest,6582052.0,13000000,1993
Airborne,2850263.0,2600000,1993
Most Wanted,11838218.0,25000000,1997
Hardware,5728953.0,1500000,1990
Dilwale Dulhania Le Jayenge,100000000.0,13200000,1995
Leprechaun 2,2260622.0,2000000,1994
Son of the Pink Panther,2438031.0,25000000,1993
Swoon,340147.0,250000,1992
Dark Angel,9229401.0,7000000,1990
Return of the Living Dead 3,54207.0,2000000,1993
Doctor Who,42000000.0,5000000,1996
Rock-A-Doodle,11657385.0,18000000,1991
Christopher Columbus: The Discovery,8251071.0,40000000,1992
Top Dog,5093707.0,6000000,1995
The Pebble and the Penguin,3983912.0,28000000,1995
The Wounds,150000.0,10000,1998
The Nutcracker,2119994.0,19000000,1993
Deadfall,18.0,10000000,1993
Love's Deadly Triangle: The Texas Cadet Murder,161001698.0,14000000,1997
Class of 1999,2459895.0,5200000,1990
Out on a Limb,1659542.0,11000000,1992
The First Power,22424195.0,10000000,1990
Highway to Hell,26055.0,9000000,1991
Sankofa,2691899.0,1000000,1993
La vÃ©ritÃ© si je mens !,29456000.0,4000000,1997
"Ryaba, My Chicken",4635143.0,2700000,1994
Rangeela,14000000.0,2800000,1995
Godfather,700000.0,18000,1991
Dil To Pagal Hai,11000000.0,1300000,1997
The Last Breath,559298.0,3800000,1999
The Perfect Weapon,14061361.0,10000000,1991
Vaali,500000.0,500000,1999
Amarkalam,500000.0,500000,1999
Aasai,500000.0,500000,1995
Kadhal Kottai,500000.0,500000,1996
Paws,1778391.0,137731,1997
Mudhalvan,22000000.0,7400000,1999
